start	end	num_kmers	mutationrate	Human	Archaic	posterior_state	viterbi_state
192000	194000	0	0.5254	0.9999	0.0001	Human	Human
194000	196000	0	0.5254	0.9999	0.0001	Human	Human
196000	198000	0	0.5254	0.9999	0.0001	Human	Human
198000	200000	0	0.5254	0.9999	0.0001	Human	Human
200000	202000	0	0.5254	0.9969	0.0031	Human	Human
202000	204000	11	0.5254	0.0	1.0	Archaic	Archaic
204000	206000	0	0.5254	0.9969	0.0031	Human	Human
206000	208000	0	0.5254	0.9999	0.0001	Human	Human
208000	210000	0	0.5254	0.9999	0.0001	Human	Human
210000	212000	0	0.5254	0.9999	0.0001	Human	Human
212000	214000	0	0.5254	0.9999	0.0001	Human	Human
214000	216000	0	0.5254	0.9999	0.0001	Human	Human
216000	218000	0	0.5254	0.9999	0.0001	Human	Human
218000	220000	0	0.5254	0.9999	0.0001	Human	Human
220000	222000	0	0.5254	0.9999	0.0001	Human	Human
222000	224000	0	0.5254	0.9999	0.0001	Human	Human
224000	226000	0	0.5254	0.9999	0.0001	Human	Human
226000	228000	0	0.5254	0.9999	0.0001	Human	Human
228000	230000	0	0.5254	0.9999	0.0001	Human	Human
230000	232000	0	0.5254	0.9999	0.0001	Human	Human
232000	234000	0	0.5254	0.9999	0.0001	Human	Human
234000	236000	0	0.5254	0.9999	0.0001	Human	Human
236000	238000	0	0.5254	0.9999	0.0001	Human	Human
238000	240000	0	0.5254	0.9999	0.0001	Human	Human
240000	242000	0	0.5254	0.9999	0.0001	Human	Human
242000	244000	0	0.5254	0.9999	0.0001	Human	Human
244000	246000	0	0.5254	0.9999	0.0001	Human	Human
246000	248000	0	0.5254	0.9999	0.0001	Human	Human
248000	250000	0	0.5254	0.9999	0.0001	Human	Human
250000	252000	0	0.5254	0.9999	0.0001	Human	Human
252000	254000	0	0.5254	0.9999	0.0001	Human	Human
254000	256000	0	0.5254	0.9999	0.0001	Human	Human
256000	258000	0	0.5254	0.9999	0.0001	Human	Human
258000	260000	0	0.5254	0.9999	0.0001	Human	Human
260000	262000	0	0.5254	0.9999	0.0001	Human	Human
262000	264000	0	0.5254	0.9999	0.0001	Human	Human
264000	266000	0	0.5254	0.9999	0.0001	Human	Human
266000	268000	0	0.5254	0.9999	0.0001	Human	Human
268000	270000	0	0.5254	0.9999	0.0001	Human	Human
270000	272000	0	0.5254	0.9999	0.0001	Human	Human
272000	274000	0	0.5254	0.9999	0.0001	Human	Human
274000	276000	0	0.5254	0.9999	0.0001	Human	Human
276000	278000	0	0.5254	0.9999	0.0001	Human	Human
278000	280000	0	0.5254	0.9999	0.0001	Human	Human
280000	282000	0	0.5254	0.9999	0.0001	Human	Human
282000	284000	0	0.5254	0.9999	0.0001	Human	Human
284000	286000	0	0.5254	0.9999	0.0001	Human	Human
286000	288000	0	0.5254	0.9999	0.0001	Human	Human
288000	290000	0	0.5254	0.9999	0.0001	Human	Human
290000	292000	0	0.5254	0.9999	0.0001	Human	Human
292000	294000	0	0.5254	0.9999	0.0001	Human	Human
294000	296000	0	0.5254	0.9999	0.0001	Human	Human
296000	298000	0	0.5254	0.9999	0.0001	Human	Human
298000	300000	0	0.5254	0.9999	0.0001	Human	Human
300000	302000	0	0.5254	0.9999	0.0001	Human	Human
302000	304000	0	0.5254	0.9999	0.0001	Human	Human
304000	306000	0	0.5254	0.9999	0.0001	Human	Human
306000	308000	0	0.5254	0.9999	0.0001	Human	Human
308000	310000	0	0.5254	0.9999	0.0001	Human	Human
310000	312000	0	0.5254	0.9999	0.0001	Human	Human
312000	314000	0	0.5254	0.9999	0.0001	Human	Human
314000	316000	0	0.5254	0.9999	0.0001	Human	Human
316000	318000	0	0.5254	0.9999	0.0001	Human	Human
318000	320000	0	0.5254	0.9999	0.0001	Human	Human
320000	322000	0	0.5254	0.9999	0.0001	Human	Human
322000	324000	0	0.5254	0.9999	0.0001	Human	Human
324000	326000	0	0.5254	0.9999	0.0001	Human	Human
326000	328000	0	0.5254	0.9999	0.0001	Human	Human
328000	330000	0	0.5254	0.9999	0.0001	Human	Human
330000	332000	0	0.5254	0.9999	0.0001	Human	Human
332000	334000	0	0.5254	0.9999	0.0001	Human	Human
334000	336000	0	0.5254	0.9999	0.0001	Human	Human
336000	338000	0	0.5254	0.9999	0.0001	Human	Human
338000	340000	0	0.5254	0.9999	0.0001	Human	Human
340000	342000	0	0.5254	0.9999	0.0001	Human	Human
342000	344000	0	0.5254	0.9999	0.0001	Human	Human
344000	346000	0	0.5254	0.9999	0.0001	Human	Human
346000	348000	0	0.5254	0.9999	0.0001	Human	Human
348000	350000	0	0.5254	0.9999	0.0001	Human	Human
350000	352000	0	0.5254	0.9999	0.0001	Human	Human
352000	354000	0	0.5254	0.9999	0.0001	Human	Human
354000	356000	0	0.5254	0.9999	0.0001	Human	Human
356000	358000	0	0.5254	0.9999	0.0001	Human	Human
358000	360000	0	0.5254	0.9999	0.0001	Human	Human
360000	362000	0	0.5254	0.9975	0.0025	Human	Human
362000	364000	2	0.5254	0.2131	0.7869	Archaic	Archaic
364000	366000	0	0.5254	0.9975	0.0025	Human	Human
366000	368000	0	0.5254	0.9999	0.0001	Human	Human
368000	370000	0	0.5254	0.9999	0.0001	Human	Human
370000	372000	0	0.5254	0.9999	0.0001	Human	Human
372000	374000	0	0.5254	0.9999	0.0001	Human	Human
374000	376000	0	0.5254	0.9999	0.0001	Human	Human
376000	378000	0	0.5254	0.9999	0.0001	Human	Human
378000	380000	0	0.5254	0.9999	0.0001	Human	Human
380000	382000	0	0.5254	0.9999	0.0001	Human	Human
382000	384000	0	0.5254	0.9999	0.0001	Human	Human
384000	386000	0	0.5254	0.9999	0.0001	Human	Human
386000	388000	0	0.5254	0.9999	0.0001	Human	Human
388000	390000	0	0.5254	0.9999	0.0001	Human	Human
390000	392000	0	0.5254	0.9999	0.0001	Human	Human
392000	394000	0	0.5254	0.9999	0.0001	Human	Human
394000	396000	0	0.5254	0.9999	0.0001	Human	Human
396000	398000	0	0.5254	0.9999	0.0001	Human	Human
398000	400000	0	0.5254	0.9999	0.0001	Human	Human
400000	402000	0	0.5254	0.9999	0.0001	Human	Human
402000	404000	0	0.5254	0.9999	0.0001	Human	Human
404000	406000	0	0.5254	0.9999	0.0001	Human	Human
406000	408000	0	0.5254	0.9999	0.0001	Human	Human
408000	410000	0	0.5254	0.9999	0.0001	Human	Human
410000	412000	0	0.5254	0.9999	0.0001	Human	Human
412000	414000	0	0.5254	0.9999	0.0001	Human	Human
414000	416000	0	0.5254	0.9999	0.0001	Human	Human
416000	418000	0	0.5254	0.9999	0.0001	Human	Human
418000	420000	0	0.5254	0.9999	0.0001	Human	Human
420000	422000	0	0.5254	0.9999	0.0001	Human	Human
422000	424000	0	0.5254	0.9999	0.0001	Human	Human
424000	426000	0	0.5254	0.9999	0.0001	Human	Human
426000	428000	0	0.5254	0.9999	0.0001	Human	Human
428000	430000	0	0.5254	0.9999	0.0001	Human	Human
430000	432000	0	0.5254	0.9999	0.0001	Human	Human
432000	434000	0	0.5254	0.9999	0.0001	Human	Human
434000	436000	0	0.5254	0.9999	0.0001	Human	Human
436000	438000	0	0.5254	0.9999	0.0001	Human	Human
438000	440000	0	0.5254	0.9999	0.0001	Human	Human
440000	442000	0	0.5254	0.9999	0.0001	Human	Human
442000	444000	0	0.5254	0.9999	0.0001	Human	Human
444000	446000	0	0.5254	0.9999	0.0001	Human	Human
446000	448000	0	0.5254	0.9999	0.0001	Human	Human
448000	450000	0	0.5254	0.9999	0.0001	Human	Human
450000	452000	0	0.5254	0.9999	0.0001	Human	Human
452000	454000	0	0.5254	0.9999	0.0001	Human	Human
454000	456000	0	0.5254	0.9999	0.0001	Human	Human
456000	458000	0	0.5254	0.9999	0.0001	Human	Human
458000	460000	0	0.5254	0.9999	0.0001	Human	Human
460000	462000	0	0.5254	0.9999	0.0001	Human	Human
462000	464000	0	0.5254	0.9999	0.0001	Human	Human
464000	466000	0	0.5254	0.9999	0.0001	Human	Human
466000	468000	0	0.5254	0.9999	0.0001	Human	Human
468000	470000	0	0.5254	0.9999	0.0001	Human	Human
470000	472000	0	0.5254	0.9999	0.0001	Human	Human
472000	474000	0	0.5254	0.9999	0.0001	Human	Human
474000	476000	0	0.5254	0.9999	0.0001	Human	Human
476000	478000	0	0.5254	0.9999	0.0001	Human	Human
478000	480000	0	0.5254	0.9999	0.0001	Human	Human
480000	482000	0	0.5254	0.9999	0.0001	Human	Human
482000	484000	0	0.5254	0.9999	0.0001	Human	Human
484000	486000	0	0.5254	0.9999	0.0001	Human	Human
486000	488000	0	0.5254	0.9999	0.0001	Human	Human
488000	490000	0	0.5254	0.9999	0.0001	Human	Human
490000	492000	0	0.5254	0.9999	0.0001	Human	Human
492000	494000	0	0.5254	0.9999	0.0001	Human	Human
494000	496000	0	0.5254	0.9999	0.0001	Human	Human
496000	498000	0	0.5254	0.9999	0.0001	Human	Human
498000	500000	0	0.5254	0.9999	0.0001	Human	Human
500000	502000	0	0.5254	0.9999	0.0001	Human	Human
502000	504000	0	0.5254	0.9999	0.0001	Human	Human
504000	506000	0	0.5254	0.9999	0.0001	Human	Human
506000	508000	0	0.5254	0.9999	0.0001	Human	Human
508000	510000	0	0.5254	0.9999	0.0001	Human	Human
510000	512000	0	0.5254	0.9999	0.0001	Human	Human
512000	514000	0	0.5254	0.9999	0.0001	Human	Human
514000	516000	0	0.5254	0.9999	0.0001	Human	Human
516000	518000	0	0.5254	0.9999	0.0001	Human	Human
518000	520000	0	0.5254	0.9999	0.0001	Human	Human
520000	522000	0	0.5254	0.9999	0.0001	Human	Human
522000	524000	0	0.5254	0.9999	0.0001	Human	Human
524000	526000	0	0.5254	0.9999	0.0001	Human	Human
526000	528000	0	0.5254	0.9999	0.0001	Human	Human
528000	530000	0	0.5254	0.9999	0.0001	Human	Human
530000	532000	0	0.5254	0.9999	0.0001	Human	Human
532000	534000	0	0.5254	0.9999	0.0001	Human	Human
534000	536000	0	0.5254	0.9999	0.0001	Human	Human
536000	538000	0	0.5254	0.9999	0.0001	Human	Human
538000	540000	0	0.5254	0.9999	0.0001	Human	Human
540000	542000	0	0.5254	0.9999	0.0001	Human	Human
542000	544000	0	0.5254	0.9999	0.0001	Human	Human
544000	546000	0	0.5254	0.9999	0.0001	Human	Human
546000	548000	0	0.5254	0.9999	0.0001	Human	Human
548000	550000	0	0.5254	0.9999	0.0001	Human	Human
550000	552000	0	0.5254	0.9999	0.0001	Human	Human
552000	554000	0	0.5254	0.9999	0.0001	Human	Human
554000	556000	0	0.5254	0.9999	0.0001	Human	Human
556000	558000	0	0.5254	0.9999	0.0001	Human	Human
558000	560000	0	0.5254	0.9999	0.0001	Human	Human
560000	562000	0	0.5254	0.9999	0.0001	Human	Human
562000	564000	0	0.5254	0.9999	0.0001	Human	Human
564000	566000	0	0.5254	0.9999	0.0001	Human	Human
566000	568000	0	0.5254	0.9999	0.0001	Human	Human
568000	570000	0	0.5254	0.9999	0.0001	Human	Human
570000	572000	0	0.5254	0.9999	0.0001	Human	Human
572000	574000	0	0.5254	0.9999	0.0001	Human	Human
574000	576000	0	0.5254	0.9999	0.0001	Human	Human
576000	578000	0	0.5254	0.9999	0.0001	Human	Human
578000	580000	0	0.5254	0.9999	0.0001	Human	Human
580000	582000	0	0.5254	0.9999	0.0001	Human	Human
582000	584000	0	0.5254	0.9999	0.0001	Human	Human
584000	586000	0	0.5254	0.9999	0.0001	Human	Human
586000	588000	0	0.5254	0.9999	0.0001	Human	Human
588000	590000	0	0.5254	0.9999	0.0001	Human	Human
590000	592000	0	0.5254	0.9999	0.0001	Human	Human
592000	594000	0	0.5254	0.9999	0.0001	Human	Human
594000	596000	0	0.5254	0.9999	0.0001	Human	Human
596000	598000	0	0.5254	0.9999	0.0001	Human	Human
598000	600000	0	0.5254	0.9999	0.0001	Human	Human
600000	602000	0	0.5254	0.9999	0.0001	Human	Human
602000	604000	0	0.5254	0.9999	0.0001	Human	Human
604000	606000	0	0.5254	0.9999	0.0001	Human	Human
606000	608000	0	0.5254	0.9999	0.0001	Human	Human
608000	610000	0	0.5254	0.9999	0.0001	Human	Human
610000	612000	0	0.5254	0.9999	0.0001	Human	Human
612000	614000	0	0.5254	0.9999	0.0001	Human	Human
614000	616000	0	0.5254	0.9999	0.0001	Human	Human
616000	618000	0	0.5254	0.9999	0.0001	Human	Human
618000	620000	0	0.5254	0.9999	0.0001	Human	Human
620000	622000	0	0.5254	0.9999	0.0001	Human	Human
622000	624000	0	0.5254	0.9999	0.0001	Human	Human
624000	626000	0	0.5254	0.9999	0.0001	Human	Human
626000	628000	0	0.5254	0.9999	0.0001	Human	Human
628000	630000	0	0.5254	0.9999	0.0001	Human	Human
630000	632000	0	0.5254	0.9999	0.0001	Human	Human
632000	634000	0	0.5254	0.9999	0.0001	Human	Human
634000	636000	0	0.5254	0.9999	0.0001	Human	Human
636000	638000	0	0.5254	0.9999	0.0001	Human	Human
638000	640000	0	0.5254	0.9999	0.0001	Human	Human
640000	642000	0	0.5254	0.9999	0.0001	Human	Human
642000	644000	0	0.5254	0.9999	0.0001	Human	Human
644000	646000	0	0.5254	0.9999	0.0001	Human	Human
646000	648000	0	0.5254	0.9999	0.0001	Human	Human
648000	650000	0	0.5254	0.9999	0.0001	Human	Human
650000	652000	0	0.5254	0.9999	0.0001	Human	Human
652000	654000	0	0.5254	0.9999	0.0001	Human	Human
654000	656000	0	0.5254	0.9999	0.0001	Human	Human
656000	658000	0	0.5254	0.9999	0.0001	Human	Human
658000	660000	0	0.5254	0.9999	0.0001	Human	Human
660000	662000	0	0.5254	0.9999	0.0001	Human	Human
662000	664000	0	0.5254	0.9999	0.0001	Human	Human
664000	666000	0	0.5254	0.9999	0.0001	Human	Human
666000	668000	0	0.5254	0.9999	0.0001	Human	Human
668000	670000	0	0.5254	0.9999	0.0001	Human	Human
670000	672000	0	0.5254	0.9999	0.0001	Human	Human
672000	674000	0	0.5254	0.9999	0.0001	Human	Human
674000	676000	0	0.5254	0.9999	0.0001	Human	Human
676000	678000	0	0.5254	0.9999	0.0001	Human	Human
678000	680000	0	0.5254	0.9999	0.0001	Human	Human
680000	682000	0	0.5254	0.9999	0.0001	Human	Human
682000	684000	0	0.5254	0.9999	0.0001	Human	Human
684000	686000	0	0.5254	0.9999	0.0001	Human	Human
686000	688000	0	0.5254	0.9999	0.0001	Human	Human
688000	690000	0	0.5254	0.9999	0.0001	Human	Human
690000	692000	0	0.5254	0.9999	0.0001	Human	Human
692000	694000	0	0.5254	0.9999	0.0001	Human	Human
694000	696000	0	0.5254	0.9999	0.0001	Human	Human
696000	698000	0	0.5254	0.9999	0.0001	Human	Human
698000	700000	0	0.5254	0.9999	0.0001	Human	Human
700000	702000	0	0.5254	0.9999	0.0001	Human	Human
702000	704000	0	0.5254	0.9999	0.0001	Human	Human
704000	706000	0	0.5254	0.9999	0.0001	Human	Human
706000	708000	0	0.5254	0.9999	0.0001	Human	Human
708000	710000	0	0.5254	0.9999	0.0001	Human	Human
710000	712000	0	0.5254	0.9999	0.0001	Human	Human
712000	714000	0	0.5254	0.9999	0.0001	Human	Human
714000	716000	0	0.5254	0.9999	0.0001	Human	Human
716000	718000	0	0.5254	0.9999	0.0001	Human	Human
718000	720000	0	0.5254	0.9999	0.0001	Human	Human
720000	722000	0	0.5254	0.9999	0.0001	Human	Human
722000	724000	0	0.5254	0.9999	0.0001	Human	Human
724000	726000	0	0.5254	0.9999	0.0001	Human	Human
726000	728000	0	0.5254	0.9999	0.0001	Human	Human
728000	730000	0	0.5254	0.9999	0.0001	Human	Human
730000	732000	0	0.5254	0.9999	0.0001	Human	Human
732000	734000	0	0.5254	0.9999	0.0001	Human	Human
734000	736000	0	0.5254	0.9999	0.0001	Human	Human
736000	738000	0	0.5254	0.9999	0.0001	Human	Human
738000	740000	0	0.5254	0.9999	0.0001	Human	Human
740000	742000	0	0.5254	0.9999	0.0001	Human	Human
742000	744000	0	0.5254	0.9999	0.0001	Human	Human
744000	746000	0	0.5254	0.9999	0.0001	Human	Human
746000	748000	0	0.5254	0.9999	0.0001	Human	Human
748000	750000	0	0.5254	0.9969	0.0031	Human	Human
750000	752000	3	0.5254	0.0013	0.9987	Archaic	Archaic
752000	754000	0	0.5254	0.9969	0.0031	Human	Human
754000	756000	0	0.5254	0.9999	0.0001	Human	Human
756000	758000	0	0.5254	0.9999	0.0001	Human	Human
758000	760000	0	0.5254	0.9999	0.0001	Human	Human
760000	762000	0	0.5254	0.9969	0.0031	Human	Human
762000	764000	41	0.5254	0.0001	0.9999	Archaic	Archaic
764000	766000	0	0.5254	0.9969	0.0031	Human	Human
766000	768000	0	0.5254	0.9999	0.0001	Human	Human
768000	770000	0	0.5254	0.9999	0.0001	Human	Human
770000	772000	0	0.5254	0.9999	0.0001	Human	Human
772000	774000	0	0.5254	0.9999	0.0001	Human	Human
774000	776000	0	0.5254	0.9999	0.0001	Human	Human
776000	778000	0	0.5254	0.9999	0.0001	Human	Human
778000	780000	0	0.5254	0.9999	0.0001	Human	Human
780000	782000	0	0.5254	0.9999	0.0001	Human	Human
782000	784000	0	0.5254	0.9999	0.0001	Human	Human
784000	786000	0	0.5254	0.9999	0.0001	Human	Human
786000	788000	0	0.5254	0.9999	0.0001	Human	Human
788000	790000	0	0.5254	0.9999	0.0001	Human	Human
790000	792000	0	0.5254	0.9999	0.0001	Human	Human
792000	794000	0	0.5254	0.9999	0.0001	Human	Human
794000	796000	0	0.5254	0.9999	0.0001	Human	Human
796000	798000	0	0.5254	0.9999	0.0001	Human	Human
798000	800000	0	0.5254	0.9999	0.0001	Human	Human
800000	802000	0	0.5254	0.9999	0.0001	Human	Human
802000	804000	0	0.5254	0.9999	0.0001	Human	Human
804000	806000	0	0.5254	0.9999	0.0001	Human	Human
806000	808000	0	0.5254	0.9999	0.0001	Human	Human
808000	810000	0	0.5254	0.9999	0.0001	Human	Human
810000	812000	0	0.5254	0.9999	0.0001	Human	Human
812000	814000	0	0.5254	0.9999	0.0001	Human	Human
814000	816000	0	0.5254	0.9999	0.0001	Human	Human
816000	818000	0	0.5254	0.9999	0.0001	Human	Human
818000	820000	0	0.5254	0.9999	0.0001	Human	Human
820000	822000	0	0.5254	0.9999	0.0001	Human	Human
822000	824000	0	0.5254	0.9999	0.0001	Human	Human
824000	826000	0	0.5254	0.9999	0.0001	Human	Human
826000	828000	0	0.5254	0.9999	0.0001	Human	Human
828000	830000	0	0.5254	0.9999	0.0001	Human	Human
830000	832000	0	0.5254	0.9999	0.0001	Human	Human
832000	834000	0	0.5254	0.9999	0.0001	Human	Human
834000	836000	0	0.5254	0.9999	0.0001	Human	Human
836000	838000	0	0.5254	0.9999	0.0001	Human	Human
838000	840000	0	0.5254	0.9999	0.0001	Human	Human
840000	842000	0	0.5254	0.9999	0.0001	Human	Human
842000	844000	0	0.5254	0.9999	0.0001	Human	Human
844000	846000	0	0.5254	0.9999	0.0001	Human	Human
846000	848000	0	0.5254	0.9999	0.0001	Human	Human
848000	850000	0	0.5254	0.9999	0.0001	Human	Human
850000	852000	0	0.5254	0.9999	0.0001	Human	Human
852000	854000	0	0.5254	0.9999	0.0001	Human	Human
854000	856000	0	0.5254	0.9999	0.0001	Human	Human
856000	858000	0	0.5254	0.9999	0.0001	Human	Human
858000	860000	0	0.5254	0.9999	0.0001	Human	Human
860000	862000	0	0.5254	0.9999	0.0001	Human	Human
862000	864000	0	0.5254	0.9999	0.0001	Human	Human
864000	866000	0	0.5254	0.9999	0.0001	Human	Human
866000	868000	0	0.5254	0.9999	0.0001	Human	Human
868000	870000	0	0.5254	0.9999	0.0001	Human	Human
870000	872000	0	0.5254	0.9999	0.0001	Human	Human
872000	874000	0	0.5254	0.9999	0.0001	Human	Human
874000	876000	0	0.5254	0.9999	0.0001	Human	Human
876000	878000	0	0.5254	0.9999	0.0001	Human	Human
878000	880000	0	0.5254	0.9999	0.0001	Human	Human
880000	882000	0	0.5254	0.9999	0.0001	Human	Human
882000	884000	0	0.5254	0.9999	0.0001	Human	Human
884000	886000	0	0.5254	0.9999	0.0001	Human	Human
886000	888000	0	0.5254	0.9999	0.0001	Human	Human
888000	890000	0	0.5254	0.9999	0.0001	Human	Human
890000	892000	0	0.5254	0.9999	0.0001	Human	Human
892000	894000	0	0.5254	0.9999	0.0001	Human	Human
894000	896000	0	0.5254	0.9999	0.0001	Human	Human
896000	898000	0	0.5254	0.9999	0.0001	Human	Human
898000	900000	0	0.5254	0.9999	0.0001	Human	Human
900000	902000	0	0.5254	0.9999	0.0001	Human	Human
902000	904000	0	0.5254	0.9999	0.0001	Human	Human
904000	906000	0	0.5254	0.9999	0.0001	Human	Human
906000	908000	0	0.5254	0.9999	0.0001	Human	Human
908000	910000	0	0.5254	0.9999	0.0001	Human	Human
910000	912000	0	0.5254	0.9999	0.0001	Human	Human
912000	914000	0	0.5254	0.9999	0.0001	Human	Human
914000	916000	0	0.5254	0.9999	0.0001	Human	Human
916000	918000	0	0.5254	0.9999	0.0001	Human	Human
918000	920000	0	0.5254	0.9999	0.0001	Human	Human
920000	922000	0	0.5254	0.9999	0.0001	Human	Human
922000	924000	0	0.5254	0.9999	0.0001	Human	Human
924000	926000	0	0.5254	0.9999	0.0001	Human	Human
926000	928000	0	0.5254	0.9999	0.0001	Human	Human
928000	930000	0	0.5254	0.9999	0.0001	Human	Human
930000	932000	0	0.5254	0.9999	0.0001	Human	Human
932000	934000	0	0.5254	0.9999	0.0001	Human	Human
934000	936000	0	0.5254	0.9999	0.0001	Human	Human
936000	938000	0	0.5254	0.9999	0.0001	Human	Human
938000	940000	0	0.5254	0.9999	0.0001	Human	Human
940000	942000	0	0.5254	0.9999	0.0001	Human	Human
942000	944000	0	0.5254	0.9999	0.0001	Human	Human
944000	946000	0	0.5254	0.9999	0.0001	Human	Human
946000	948000	0	0.5254	0.9999	0.0001	Human	Human
948000	950000	0	0.5254	0.9999	0.0001	Human	Human
950000	952000	0	0.5254	0.9999	0.0001	Human	Human
952000	954000	0	0.5254	0.9999	0.0001	Human	Human
954000	956000	0	0.5254	0.9999	0.0001	Human	Human
956000	958000	0	0.5254	0.9999	0.0001	Human	Human
